	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16	sp17	sp18	sp19	sp20	sp21	sp22	sp23	sp24	sp25	sp26	sp27	sp28	sp29	sp30	sp31	sp32	sp33	sp34	sp35	sp36	sp37	sp38	sp39	sp40	sp41	sp42	sp43
MA1	0	0	0	0	0	3	0	0	2	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MA2	0	0	0	0	0	1	0	0	18	0	0	0	0	16	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PA1	0	0	0	0	0	7	0	0	16	0	0	6	0	17	0	0	0	0	0	0	11	49	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8	0	0	0	0
PA2	0	0	0	0	0	0	0	23	35	0	0	23	0	20	0	0	0	0	0	0	19	39	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
PA3	0	0	0	0	0	1	0	0	31	0	0	10	0	19	0	0	0	0	0	0	16	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1
PA4	2	0	0	0	0	0	0	0	18	0	0	3	0	24	0	0	0	0	0	0	24	2	1	0	0	0	0	0	0	0	0	0	0	0	3	0	7	0	0	0	0	0	0
CE1	0	0	0	0	0	2	13	0	1	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	1	0	0
CE2	0	0	13	13	2	0	0	0	15	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CH1	0	0	0	0	0	1	0	0	20	0	0	2	10	15	0	0	0	0	0	0	0	30	1	3	0	0	0	0	0	0	6	3	0	0	0	1	1	0	0	0	3	0	1
CH2	0	0	0	0	4	0	0	0	26	0	0	0	0	24	0	0	0	0	0	0	2	27	0	0	0	0	0	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	1
CH3	0	0	0	0	4	2	0	0	5	0	0	2	26	21	5	0	2	0	0	0	1	18	0	0	0	0	0	0	0	0	0	2	1	3	1	0	0	0	0	0	0	0	0
PA5	3	0	0	0	8	8	0	0	28	0	0	4	0	13	0	0	0	1	0	1	21	4	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	2	0	0	0	0	0
PA6	1	0	0	0	0	0	0	0	20	0	0	0	0	5	0	0	0	5	0	6	16	1	0	0	0	0	0	0	2	0	0	0	0	0	3	2	0	0	0	0	1	0	1
MA3	0	5	0	0	0	1	0	0	15	6	3	0	0	3	0	0	2	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	0	1	0	0
MA4	0	1	0	0	0	16	0	3	11	0	13	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	0	8	0	0	0	0	0	0	0	2	1	1	0	0
MA5	0	1	0	0	0	0	0	5	8	0	8	0	0	15	0	0	0	0	0	0	11	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	3	1	0	1	0
CE3	0	0	0	0	0	10	0	11	12	0	0	0	0	6	0	0	0	0	4	0	11	0	5	0	7	1	0	0	6	0	3	0	0	0	0	0	0	0	0	11	0	0	0
CE4	0	0	0	0	0	8	0	10	15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	14	0	0	0	0	0	0	0	0	0	0	5	0	0	0
CE5	0	0	3	2	5	1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
