distance	Beta	var
197.32	0.273	Bprey
190.97	0.31	Bprey
301.03	0.333	Bprey
341.69	0.259	Bprey
347.47	0.31	Bprey
342.96	0.333	Bprey
319.37	0.556	Bprey
313.28	0.333	Bprey
294.53	0.28	Bprey
289.36	0.091	Bprey
291.41	0.31	Bprey
180.41	0.29	Bprey
179.44	0.313	Bprey
261.42	0.375	Bprey
291.33	0.231	Bprey
334.27	0.286	Bprey
338.55	0.28	Bprey
352.22	0.448	Bprey
352.21	0.44	Bprey
106.1	0.429	Bprey
499.78	0.333	Bprey
502.6	0.448	Bprey
501.07	0.467	Bprey
300.54	0.667	Bprey
297.21	0.417	Bprey
432.87	0.36	Bprey
430.24	0.273	Bprey
429.17	0.379	Bprey
249.02	0.419	Bprey
247.96	0.375	Bprey
338.16	0.375	Bprey
337.91	0.308	Bprey
384.4	0.357	Bprey
389.27	0.36	Bprey
0.82	0.438	Bprey
451.96	0.5	Bprey
148.13	0.353	Bprey
152.06	0.389	Bprey
149.59	0.351	Bprey
506.4	0.68	Bprey
499.93	0.484	Bprey
365.82	0.438	Bprey
356.81	0.379	Bprey
364.74	0.278	Bprey
159.47	0.316	Bprey
159.65	0.333	Bprey
163.32	0.385	Bprey
163.12	0.273	Bprey
239.67	0.371	Bprey
242.21	0.375	Bprey
596.85	0.462	Bprey
598.57	0.286	Bprey
598.45	0.448	Bprey
341.19	0.647	Bprey
340.12	0.478	Bprey
528.21	0.333	Bprey
526.31	0.333	Bprey
524.48	0.429	Bprey
328.73	0.4	Bprey
327.68	0.419	Bprey
411.5	0.355	Bprey
411.24	0.36	Bprey
443.08	0.481	Bprey
447.66	0.333	Bprey
14.15	0.353	Bprey
1.91	0.314	Bprey
637.87	0.565	Bprey
631.25	0.31	Bprey
439.81	0.267	Bprey
430.8	0.259	Bprey
440.1	0.235	Bprey
285.78	0.333	Bprey
286.36	0.297	Bprey
245.37	0.351	Bprey
245.35	0.355	Bprey
296.99	0.273	Bprey
296.84	0.333	Bprey
15.25	0.297	Bprey
647.06	0.6	Bprey
640.45	0.355	Bprey
452.78	0.313	Bprey
443.3	0.379	Bprey
452.95	0.278	Bprey
284.22	0.211	Bprey
285.22	0.282	Bprey
239.49	0.231	Bprey
239.45	0.273	Bprey
288.54	0.314	Bprey
288.65	0.313	Bprey
638.65	0.538	Bprey
631.9	0.438	Bprey
439.71	0.333	Bprey
430.21	0.4	Bprey
440.05	0.297	Bprey
287.74	0.282	Bprey
288.42	0.25	Bprey
247.41	0.3	Bprey
247.36	0.412	Bprey
298.47	0.278	Bprey
298.55	0.394	Bprey
6.82	0.6	Bprey
317.04	0.619	Bprey
321.36	0.667	Bprey
313.31	0.6	Bprey
488.02	0.704	Bprey
487.15	0.643	Bprey
575.9	0.643	Bprey
575.63	0.636	Bprey
642.37	0.5	Bprey
647.09	0.619	Bprey
311.14	0.259	Bprey
315.73	0.333	Bprey
307.77	0.355	Bprey
482.68	0.394	Bprey
481.64	0.353	Bprey
570.31	0.412	Bprey
569.99	0.357	Bprey
636.95	0.333	Bprey
641.69	0.481	Bprey
9.45	0.28	Bprey
3.99	0.188	Bprey
452.48	0.235	Bprey
451.88	0.314	Bprey
509.12	0.371	Bprey
508.84	0.379	Bprey
589.22	0.355	Bprey
592.79	0.357	Bprey
10.82	0.379	Bprey
445.07	0.263	Bprey
444.78	0.333	Bprey
500.88	0.385	Bprey
500.6	0.394	Bprey
580.85	0.371	Bprey
584.24	0.375	Bprey
1.11	0.22	Bprey
91.03	0.268	Bprey
90.67	0.314	Bprey
154.98	0.297	Bprey
159.55	0.353	Bprey
92.13	0.143	Bprey
91.84	0.333	Bprey
156.01	0.263	Bprey
160.7	0.371	Bprey
0.32	0.278	Bprey
80.2	0.263	Bprey
83.57	0.371	Bprey
80.37	0.313	Bprey
84.13	0.379	Bprey
4.85	0.29	Bprey
197.32	0.6	Banura
190.97	0.579	Banura
301.03	0.6	Banura
341.69	0.619	Banura
347.47	0.6	Banura
342.96	0.619	Banura
319.37	0.333	Banura
313.28	0.333	Banura
294.53	0.368	Banura
289.36	0.474	Banura
291.41	0.556	Banura
180.41	0.333	Banura
179.44	0.6	Banura
261.42	0.375	Banura
291.33	0.625	Banura
334.27	0.6	Banura
338.55	0.579	Banura
352.22	0.7	Banura
352.21	0.875	Banura
106.1	0.25	Banura
499.78	0.818	Banura
