network	ecoregion	season
barranco1_chuva	Pantanal	wet
barranco2_chuva	Pantanal	wet
bep1_chuva	Pantanal	wet
bep2_chuva	Pantanal	wet
brejo_chuva	Cerrado	wet
cama_chuva	Cerrado	wet
chaco1_chuva	Chaco	wet
chaco2_chuva	Chaco	wet
chaco3_chuva	Chaco	wet
corumba1_chuva	Pantanal	wet
corumba2_chuva	Pantanal	wet
ivi1_chuva	Atlantic_Forest	wet
ivi2_chuva	Atlantic_Forest	wet
ivi3_chuva	Atlantic_Forest	wet
mim1_chuva	Cerrado	wet
mim2_chuva	Cerrado	wet
taquari_chuva	Cerrado	wet
tl1_chuva	Atlantic_Forest	wet
tl2_chuva	Atlantic_Forest	wet
barranco1_seca	Pantanal	wet
barranco2_seca	Pantanal	wet
bep1_seca	Pantanal	dry
bep2_seca	Pantanal	dry
brejo_seca	Cerrado	dry
cama_seca	Cerrado	dry
chaco1_seca	Chaco	dry
chaco2_seca	Chaco	dry
chaco3_seca	Chaco	dry
corumba1_seca	Pantanal	dry
corumba2_seca	Pantanal	dry
ivi1_seca	Atlantic_Forest	dry
ivi2_seca	Atlantic_Forest	dry
ivi3_seca	Atlantic_Forest	dry
mim1_seca	Cerrado	dry
mim2_seca	Cerrado	dry
taquari_seca	Cerrado	dry
tl1_seca	Atlantic_Forest	dry
tl2_seca	Atlantic_Forest	dry
