	Annelida	Anura	Araneae	Blattaria_	Chilopoda	Coleoptera	Coleoptera_larvae	Collembola	Dermaptera	Diplopoda	Diptera	Diptera_larvae	Formicidae	Hemiptera	Hirudinea	Hymenoptera	Hymenoptera_larvae	Insect_eggs	Isopoda	Isoptera	Ixodidae	Lepidoptera	Lepidoptera_larvae	Mantodea	Mecoptera_larvae	Neuroptera_larvae	NI	NI_larvae	Odonata	Odonata_nymph	Opiliones	Orthoptera	Phasmatodea	Plecoptera	Pseudoscorpionida	Psocoptera	Pulmonata	Tadpole	Thysanoptera	Trichoptera	Vertebrata
MA1	0	0	2	0	2	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MA2	0	0	3	2	0	18	1	6	0	0	12	0	4	23	0	4	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	1	0
PA1	13	0	45	6	0	28	4	10	1	0	128	3	197	53	1	16	0	0	0	0	0	0	1	0	1	0	6	1	3	0	0	13	0	0	0	0	1	0	0	0	0
PA2	11	0	45	1	0	61	14	0	2	0	189	12	543	30	0	9	0	0	0	0	1	2	1	0	0	1	27	1	9	2	0	8	0	1	0	0	0	0	0	0	0
PA3	1	2	13	3	0	18	1	0	1	1	1	3	53	11	0	1	1	0	0	0	1	1	2	0	0	2	3	2	0	0	0	7	0	0	0	0	0	0	0	0	0
PA4	5	0	20	8	0	44	2	0	0	1	1	0	134	15	0	2	0	0	5	0	0	0	2	0	0	0	4	0	0	0	0	24	0	0	1	0	0	0	0	0	0
CE1	0	0	6	2	0	7	0	0	0	0	1	0	4	18	0	2	0	0	0	0	0	0	1	0	0	0	4	0	1	0	0	2	0	0	0	0	0	0	0	0	0
CE2	0	0	9	1	0	0	1	0	0	0	3	0	7	6	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0
CH1	0	0	18	0	0	23	7	2	0	0	19	0	28	34	0	2	0	0	0	13	4	2	4	0	0	0	2	0	5	0	0	15	0	0	0	0	0	0	1	0	0
CH2	10	2	17	3	0	38	0	1	0	0	23	5	404	39	0	7	0	0	1	0	9	0	6	0	0	0	1	2	0	0	0	14	0	0	0	0	4	0	0	0	0
CH3	0	0	14	0	1	73	10	0	0	0	19	1	211	24	0	11	1	0	0	0	3	0	1	0	0	0	4	1	1	2	0	9	0	0	0	0	1	1	0	0	0
PA5	0	0	17	5	1	27	1	0	2	0	6	2	27	17	0	9	0	0	0	6	2	0	2	0	0	0	4	0	0	0	11	13	0	0	0	0	0	0	0	0	0
PA6	0	0	12	2	0	24	0	0	0	0	18	1	21	12	0	0	0	0	0	9	0	0	3	1	0	0	4	2	0	0	0	5	0	0	0	0	0	0	3	0	0
MA3	0	0	7	2	0	16	2	12	0	0	1	0	75	6	1	0	0	0	0	0	4	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0
MA4	0	0	3	1	0	17	0	0	0	0	3	0	133	11	0	2	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	8	0	0	0	0	0	0	0	0	0
MA5	0	0	16	1	0	17	1	1	0	0	8	0	32	12	0	0	0	0	0	4	1	0	4	1	0	0	1	1	1	0	3	3	0	0	0	0	1	0	0	0	0
CE3	2	0	11	1	0	18	3	0	0	5	4	0	30	25	0	4	0	0	0	5	0	0	4	1	0	0	0	0	4	1	0	4	0	0	0	1	1	0	0	0	0
CE4	0	0	3	0	0	5	0	1	0	0	4	1	1	11	0	2	0	0	0	0	0	0	2	2	0	0	4	1	0	0	0	2	1	0	0	0	0	0	0	0	0
CE5	1	1	4	0	0	1	0	0	0	0	1	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	3	0	0	0	0	0	0	0	0	0
