	Ade_dy	Boa_pu	Boa_ra	Den_mi	Den_na	Ela_ma	Lep_ch	Lep_fu	Lep_ju	Lep_la	Lep_po	Lys_li	Phy_al	Phy_sp	Pi_az	Pse_pl	Rhi_be	Rhi_di
Ann	0	0	0	0	0	0	29	0	0	0	1	0	0	0	0	0	0	0
Anu	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Ara	0	3	4	5	37	0	22	1	1	1	22	34	1	1	1	7	0	1
Bla	0	0	0	0	1	2	7	0	0	0	8	1	0	0	0	0	0	1
Chi	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Col	4	0	0	2	7	3	76	1	2	3	73	3	1	3	1	1	2	15
Coleoptera_larvae	0	0	0	0	1	1	13	0	1	0	2	4	0	0	0	0	0	0
Coll	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
Der	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0
Dip	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Dipl	1	0	0	3	47	0	63	0	0	0	30	186	0	7	0	0	0	0
Diptera_larvae	0	0	0	0	0	7	6	0	0	0	5	3	0	0	0	0	0	0
For	3	0	13	0	5	728	61	0	0	0	25	2	1	0	0	0	9	127
Hem	3	2	2	0	15	1	39	0	3	1	14	52	1	0	1	1	1	0
Hir	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Hym	0	0	0	0	10	1	8	0	0	0	4	14	0	0	0	0	0	0
Hymenoptera_larvae	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Iso	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Isop	0	0	0	0	1	23	0	0	0	0	1	0	0	0	0	0	0	0
Ixo	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
Lep	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
Lepidoptera_larvae	0	0	1	0	1	0	4	1	1	0	2	0	0	0	0	0	0	0
Man	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Mecoptera_larvae	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Neuroptera_larvae	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0
NI	0	0	0	3	21	1	5	0	0	0	7	11	0	0	0	0	0	0
NI_larvae	0	0	1	0	1	0	2	1	0	0	0	0	0	0	1	0	0	0
Odo	0	0	0	0	0	0	3	0	0	0	0	8	0	0	0	1	0	0
Odonata_nymph	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Opi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ort	0	0	3	0	1	2	30	0	2	1	17	7	1	1	1	0	0	0
Ple	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Pse	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Pul	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Thy	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0
